Circuit,Runs,Random walks per run,"k1 (min, max, samples)","k2 (min, max, samples)","theta1 (min, max, samples)","theta2 (min, max, samples)","(min, max) sampled value of |S_k1_x1|","(min, max) sampled value of |S_k2_x1|",Sampled energy difference in |S_k1_x1|,Sampled energy difference in |S_k2_x1|,Sampled cumulative energ difference,Probability hot run,Hot run temperature,Probability cold run,Cold run temperature,Hot run time,Hot run stopping temperature,Number of temperatures,Step scaling factor,Cold run time,Cold run stopping temperature,Prune time,Archive length after cold run,Archive length after prune
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.009166483640589036, 0.047739837904394025]","[1.0159628832728793, 1.3028270350675848]",0.03857335426380499,0.2868641517947055,0.28944592801429564,0.9,2.7471954385105093,0.01,0.06285238467298722,"[4.309199094772339, 1.2001519203186035]","[0.06496998145393582, 0.06496998145393582]","[74, 74]","[0.01, 0.01]","[47.39094400405884, 50.341219663619995]","[1.9174373256857268e-06, 1.9174373256857268e-06]","[2.47955322265625e-05, 5.245208740234375e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.009166483640589036, 0.047739837904394025]","[1.0159628832728793, 1.3028270350675848]",0.03857335426380499,0.2868641517947055,0.28944592801429564,0.9,2.7471954385105093,0.01,0.06285238467298722,"[4.253886938095093, 1.1918561458587646]","[0.06496998145393582, 0.06496998145393582]","[74, 74]","[0.01, 0.01]","[48.94088864326477, 52.622910022735596]","[1.9174373256857268e-06, 1.9174373256857268e-06]","[0.00014591217041015625, 0.00012493133544921875]","[125, 153]","[5, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.009166483640589036, 0.047739837904394025]","[1.0159628832728793, 1.3028270350675848]",0.03857335426380499,0.2868641517947055,0.28944592801429564,0.9,2.7471954385105093,0.01,0.06285238467298722,"[4.460507869720459, 1.2384917736053467]","[0.06496998145393582, 0.06496998145393582]","[74, 74]","[0.01, 0.01]","[47.558672189712524, 58.12709093093872]","[1.9174373256857268e-06, 1.9174373256857268e-06]","[0.0001418590545654297, 0.00011014938354492188]","[125, 153]","[5, 1]"
