Circuit,Runs,Random walks per run,"k1 (min, max, samples)","k2 (min, max, samples)","theta1 (min, max, samples)","theta2 (min, max, samples)","(min, max) sampled value of |S_k1_x1|","(min, max) sampled value of |S_k2_x1|",Sampled energy difference in |S_k1_x1|,Sampled energy difference in |S_k2_x1|,Sampled cumulative energ difference,Probability hot run,Hot run temperature,Probability cold run,Cold run temperature,Hot run time,Hot run stopping temperature,Number of temperatures,Step scaling factor,Cold run time,Cold run stopping temperature,Prune time,Archive length after cold run,Archive length after prune
ToyModel,1,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.009084465579328207, 1.0010963823225676]","[3.4831911298624025e-13, 1.3028270350675837]",0.9920119167432394,1.3028270350672353,1.6375121148445526,0.9,15.541990323610527,0.01,0.35558123776335654,[157.42370891571045],[0.36756133507185246],[74],[0.4],[182.13501691818237],[0.0002787030536565931],[0.00021123886108398438],[36],[32]
ToyModel,1,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.009084465579328207, 1.0010963823225676]","[3.4831911298624025e-13, 1.3028270350675837]",0.9920119167432394,1.3028270350672353,1.6375121148445526,0.9,15.541990323610527,0.01,0.35558123776335654,[1163.4847168922424],[0.36756133507185246],[74],[0.7],[726.8831617832184],[0.0002787030536565931],[0.00801539421081543],[242],[212]
